dateTime,authorName,Message
21/1/2025 12:33,HookHuukGaming,📌ช่องทางการสมัคร Member นะคับ :https://www.youtube.com/channel/UClns...
21/1/2025 12:37,わんこJDS,เนื้อเรื่องลุงจะกลายเป็น 3 มั้ย? มัน 10 กว่าชมเลยนะลุง...:_HHConfuse:
21/1/2025 12:40,N E W,:hand-pink-waving: :hand-pink-waving: :hand-pink-waving:
21/1/2025 12:41,Jaiza,:_HHHi: :_HHHi: :_HHHi:
21/1/2025 12:43,Azuma,ครอบครัวก็มา งานก็เยอะ เหนื่อยเเทนลุง สู้ๆครับ
21/1/2025 12:50,ehetenandayo,:_HHShocked: :_HHShocked:
21/1/2025 12:57,N E W,ไหๆไอพี่
21/1/2025 13:04,Eastinn,:_HHHi:
21/1/2025 13:06,Peerada Prommin,:_HHHi: :_HHHi: :_HHHi:
21/1/2025 13:16,Day,:hand-pink-waving: :hand-pink-waving:
21/1/2025 13:33,LeOOZ l_l,เนื้อเรื่อง2ไลฟ์? เนื้อเรื่องมันยาวมากเลยนะ
21/1/2025 13:33,LeOOZ l_l,:_HHHi: :_HHHi: :_HHHi:
21/1/2025 13:34,RakZlept - รักหลับ,แวะมาให้กำลังใจนะมรึง กรูอยู่ที่เดิมแหละ มีอะไรให้ช่วยบอกได้เลย
21/1/2025 13:35,BunnyMint,:_HHHi: :_HHHi:
21/1/2025 13:37,Toujours Blackrose,เนื้อเรื่องสิบชั่วโมงเลยนะลุง 2 ไลฟ์ไหวเหรอคะ จะยาวไปไหม
21/1/2025 13:38,Einzeln Qualia,เนื้อเรื่องคนอื่น 10 ชม. ลุงเล่นคง 1 วัน 🤣🤣🤣
21/1/2025 13:39,Einzeln Qualia,หลงทาง + เม้ามอย ปาไปอีก 10 🤣🤣
21/1/2025 13:45,aon,AS รอบนี้ Auto เกือบไม่รอดแต่ยังถือง่ายกว่า MOC
21/1/2025 13:49,เน้ด จากสมาคมคนรักน้องหวาน,ไหไหค่า
21/1/2025 13:50,เน้ด จากสมาคมคนรักน้องหวาน,รู้นึกว่าไม่ได้มานานมาก
21/1/2025 13:50,กเฬวราก,ขิงผมออโต้ไม่ผ่านอะ ต้องเล่นเอง สายติดเตียงท้อแท้มาก
21/1/2025 13:54,zatokung,ถ้า 2 part นี่ต่ำๆ part ละ 6 ชม สำหรับลุงเลยนะ
21/1/2025 14:00,HellHex,มาแว้ว
21/1/2025 14:00,reaper,ตื่นมาดูแล้วครับ
21/1/2025 14:00,Eastinn,:_HHHi: :_HHHi:
21/1/2025 14:00,เก๊กฮวย หน้าปากซอย,:person-turqouise-waving:
21/1/2025 14:00,น้องก๊อต Got,สวัสดีครับ
21/1/2025 14:01,DIW thanaphat,ข้าวอร่อยไหมพี่
21/1/2025 14:01,Lugh- Sama,:_HHHi: :_HHHi:
21/1/2025 14:01,TOEY Natthawut,มาแว้วววว
21/1/2025 14:01,Worachat Singtothong,Sawasdeekub lookpee hook
21/1/2025 14:01,:3,หวัดดีสุดหล่อ
21/1/2025 14:01,OAT TI,เป็นกำลังใจให้ลุงครับ
21/1/2025 14:01,MisterGe,สวัสดีคับลุง 
21/1/2025 14:01,SaoI-KuMoo.,สวัสดีค่าลุงงง
21/1/2025 14:01,reaper,ป่าวครับไม่พักมาเฉยๆ
21/1/2025 14:01,artbynobi,ลุง ไม่ได้ดูนานตอนนี้ 4ดาวยังผ่านดาวเต็มได้อยู่มั้ยครับ
21/1/2025 14:01,-𝒘𝒂𝒏-,หวัดดีงับลุง
21/1/2025 14:01,Sofut,ไม่อยากกดท่านเฮอต้า ห้องแรกเล่นยังไงก็ไม่ได้ 3000+ T^T
21/1/2025 14:01,Itsuki'san,ดีครับพี่ลุงน้าอาตาฮุก
21/1/2025 14:01,Nanatsuji Chihiro,อยากกินเป็ดพะโล้ตรุษจีนทำไงดีครับลุง
21/1/2025 14:02,Festriz,เบื้องหลัง 4 ดาวล้วนมัน
21/1/2025 14:02,Festriz,ทรหด
21/1/2025 14:02,khachen,ช่วงนี้เห็น content 4 ดาวน้อยมากครับ
21/1/2025 14:02,MisterGe,รอใช้ทีมตามลุงคับ 
21/1/2025 14:02,Mu ver,ลุงงง 24นี้ ลุงต้องชนะะะะะะ
21/1/2025 14:02,DIW thanaphat,หลุดเรท
21/1/2025 14:02,Palm,ลุงขอถามนอกเกมได้ไหม จะมีคลิป astar yao ไหมครับ อยากรู้แค่ว่าลุงจะให้ เปิดเหอะ หรือ เปิดมั้ยนะ
21/1/2025 14:02,Tar,หลุดๆๆๆ
21/1/2025 14:02,:3,เพลงหลอนกับ AS 
21/1/2025 14:02,sticker,เปิดเลยๆๆๆ
21/1/2025 14:02,Eastinn,:_HHLostHand: :_HHLostHand:
21/1/2025 14:02,Meiwah,ดีงับ
21/1/2025 14:02,SIEG,ดีงับบบ
21/1/2025 14:02,kurumi,4ดาวล้วนยากหน่อยหรือแทบเป็นไปไม่ได้ในรอบนี้
21/1/2025 14:02,Lugh- Sama,จะ:_HHGoldHand:หรือ:_HHLostHand:
21/1/2025 14:02,Boat Kozeki♦️,:chillwcat:
21/1/2025 14:03,khachen,สำหรับผม ผมคงเปิด robin E1 เลยครับ
21/1/2025 14:03,DIW thanaphat,ของอัพละพี่
21/1/2025 14:03,เน้ด จากสมาคมคนรักน้องหวาน,กาชาาาาา
21/1/2025 14:03,saintmikael X,เข้มๆ
21/1/2025 14:03,น้องก๊อต Got,แปลกๆ
21/1/2025 14:03,Venzellist,ทองแล้วแหละ
21/1/2025 14:03,N4CK ʕ•ᴥ•ʔ,sleep มาดิ้
21/1/2025 14:03,aon,เกลือ
21/1/2025 14:03,punyawat,สบายๆ
21/1/2025 14:03,เน้ด จากสมาคมคนรักน้องหวาน,ว้า
21/1/2025 14:03,:3,NOWAY
21/1/2025 14:03,Lugh- Sama,:_HHGoldHand:วะ
21/1/2025 14:03,LeOOZ l_l,:_HHGoldHand:
21/1/2025 14:03,N3W,ทำไมไมีมี lc แล้วอาการหนักหรอคับ
21/1/2025 14:03,:3,yeahhh
21/1/2025 14:03,โม่ ชาแนล eiei,ดีคับ
21/1/2025 14:03,Eastinn,:_HHGoldHand: :_HHGoldHand:
21/1/2025 14:03,Tar,เนื้อเรื่องลุงเล่นวันไหนครับ
21/1/2025 14:03,Tle_How,เลขสวย
21/1/2025 14:03,Lovely Child.,ดีจ้า
21/1/2025 14:03,Festriz,69 ก็ปกติ
21/1/2025 14:04,Neo DarkSaber,69 :_HHHmmm:
21/1/2025 14:04,:3,69 สวย เปิดต่อได้อีกใบ
21/1/2025 14:04,Mina Yuu,:hand-pink-waving: :hand-pink-waving:
21/1/2025 14:04,เน้ด จากสมาคมคนรักน้องหวาน,เอาของอัปเทรซมาแบ่งหน่อยลุง
21/1/2025 14:04,Sakura ;-;,ได้อาวุธของคลอรีนมาแต่ไม่มีคลอรีนใส่ให้ตัวไหนได้บ้างคะะ
21/1/2025 14:04,เน้ด จากสมาคมคนรักน้องหวาน,จนกรอบมาก
21/1/2025 14:04,Noah.P,ชิชิ
21/1/2025 14:04,น้องก๊อต Got,มีเหลือๆล้นๆ
21/1/2025 14:04,F I L M E's,สวัสดีค่าา
21/1/2025 14:05,NeferPitou,สวัสดีค่ะ
21/1/2025 14:05,เน้ด จากสมาคมคนรักน้องหวาน,ใช้ได้ แบบใช้ไปก่อนน่ะนะ
21/1/2025 14:05,น้องก๊อต Got,5555
21/1/2025 14:05,Neo DarkSaber,คลอรินไมไ่ด้ใช้อาวุธเป็นสีหรอครับ ดินสอสีคอลีนนนน
21/1/2025 14:05,DIW thanaphat,เดี่ยวรู้ครับ
21/1/2025 14:05,saintmikael X,นั่นสินะ ทำอะไร
21/1/2025 14:05,เน้ด จากสมาคมคนรักน้องหวาน,แต่ผมไม่รู้สึกว่าเป็น bis ของใครเลย
21/1/2025 14:05,Red April,ห้องบน yunli มันมากคับลุง
21/1/2025 14:05,Festriz,ครับ
21/1/2025 14:05,Family​Man,บัพครั้งนี้ไม่อวยปัญญาเท่าไหร่เลยยยย
21/1/2025 14:05,zatokung,ขาย
21/1/2025 14:05,Saltines,นั่นสิ ต้านสถานะอะไรกันนะ
21/1/2025 14:05,LeOOZ l_l,ด้วงม่วง มีดีบัพccนะ
21/1/2025 14:05,AluviZ,ฝากเก็บดาวสุดท้ายหน่อยได้ไหมจั๊ฟ
21/1/2025 14:05,Kisznap,ดูบัพห้องแมลงสิครับ55555
21/1/2025 14:05,reaper,รอดูทีมครับเล่นไม่ผ่าน
21/1/2025 14:05,เน้ด จากสมาคมคนรักน้องหวาน,เด็กสมัยนี้ยังใช้สีคลอรีนอยู่ไหม
21/1/2025 14:05,zatokung,Yunli ได้อยุ่ ผมเล่นผ่าน
21/1/2025 14:05,CAlVlP,ห้องบนเบิ้มๆ
21/1/2025 14:06,Nine Anine,รอบนี้ห้องแรกผมได้3315ห้อง2 ได้ 3305
21/1/2025 14:06,Surtr,ปัญญาลง as มีจริง
21/1/2025 14:06,Gwynnevere,ห้องบนใช้เรโช พอถูไถ 3400 ได้อยู่ 5555 
21/1/2025 14:06,กเฬวราก,หยุนลี่ผมจบที่คะแนนเหลือ 800อะ
